Version name,File name,Size,NR,NAuth,LOCTouched,LOCAdded,MAX_LOC_Added,AVG_LOC_Added,Churn,MAX_Churn,AVG_Churn,bugginess
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/DatumReader.java,38,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/BlockingBinaryEncoder.java,628,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIOResolving.java,120,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/ValidatingEncoder.java,208,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/file/SeekableInput.java,37,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/io/TestBinaryDecoder.java,76,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericArray.java,37,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/BarRecord.java,53,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolGenericMeta.java,42,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/ParsingEncoder.java,70,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecord.java,28,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/io/TestBlockingIO2.java,163,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/file/SeekableFileInput.java,35,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/ValidatingDecoder.java,230,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/test/java/org/apache/avro/io/TestValidatingIO.java,841,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericContainer.java,27,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/FixedSize.java,37,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/GenerateBlockingData.java,85,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/util/RandomData.java,139,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/DatumWriter.java,36,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericFixed.java,24,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/ResolvingDecoder.java,206,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/test/java/org/apache/avro/io/TestResolvingIO.java,214,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/BinaryData.java,192,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/ipc/src/test/java/org/apache/avro/TestProtocolSpecificMeta.java,46,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/Decoder.java,273,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/util/Utf8.java,87,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/JsonDecoder.java,400,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/parsing/ResolvingGrammarGenerator.java,338,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/ipc/src/main/java/org/apache/avro/ipc/generic/GenericRequestor.java,58,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/BinaryEncoder.java,251,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/BinaryDecoder.java,301,0,0,0,0,0,0,0,0,0,YES
1.1.0,lang/java/avro/src/main/java/org/apache/avro/util/ByteBufferOutputStream.java,91,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/generic/GenericRecord.java,24,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/specific/SpecificRecordBase.java,72,0,0,0,0,0,0,0,0,0,NO
1.1.0,lang/java/avro/src/main/java/org/apache/avro/io/parsing/ValidatingGrammarGenerator.java,139,0,0,0,0,0,0,0,0,0,YES
