Dataset,#TrainingRelease,%Training,%Defective in training,%Defective in testing,Balancing,Feature Selection,Sensitivity,TP,FP,TN,FN,Classifier,Precision,Recall,AUC,Kappa
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,Sensitive Learning,9.0,13.0,46.0,35.0,RandomForest,0.409,0.205,0.454,-0.017,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,Sensitive Learning,33.0,28.0,31.0,11.0,NaiveBayes,0.541,0.75,0.623,0.263,
AVRO,1,2.59%,87.38%,42.72%,SMOTE,Best first,Sensitive Learning,35.0,56.0,3.0,9.0,IBk,0.385,0.795,0.445,-0.135,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,No cost sensitive,138.0,0.0,1.0,18.0,RandomForest,1.0,0.885,1.0,0.089,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,No cost sensitive,52.0,0.0,1.0,104.0,NaiveBayes,1.0,0.333,0.372,0.006,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,No cost sensitive,141.0,0.0,1.0,15.0,IBk,1.0,0.904,0.926,0.107,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,Sensitive Threshold,156.0,0.0,1.0,0.0,RandomForest,1.0,1.0,1.0,1.0,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,Sensitive Threshold,79.0,1.0,0.0,77.0,NaiveBayes,0.988,0.506,0.253,-0.013,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,Sensitive Threshold,141.0,0.0,1.0,15.0,IBk,1.0,0.904,0.952,0.107,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,Sensitive Learning,156.0,0.0,1.0,0.0,RandomForest,1.0,1.0,1.0,1.0,
AVRO,2,5.16%,65.37%,99.36%,No sampling,No Feature Selection,Sensitive Learning,77.0,1.0,0.0,79.0,NaiveBayes,0.987,0.494,0.372,-0.013,
